Id,Date,InitialWeight,FinalWeight,Comment
1,2023-10-09 08:00:00,434.54,392.32,AGC 12
1,2023-10-09 09:15:00,392.32,345.12,
1,2023-10-09 11:05:00,345.12,335.57,
1,2023-10-09 13:32:00,335.57,322.30,
1,2023-10-09 14:24:00,322.30,317.69,
1,2023-10-10 07:09:00,317.69,303.02,
1,2023-10-11 07:35:00,303.07,236.29,
1,2023-10-12 07:25:00,236.29,202.17,
1,2023-10-13 07:35:00,202.19,202.19,
1,2023-10-16 06:50:00,202.16,202.16,
1,2023-10-16 11:24:00,202.16,76.61,AGC Change 12 -> 11
1,2023-10-17 11:17:00,76.61,52.69,
2,2023-10-19 07:01:00,425.51,280.71,
2,2023-10-20 07:15:00,280.78,280.78,
2,2023-10-20 17:04:00,280.78,82.64,
3,2023-10-20 17:06:00,424.91,424.91,
3,2023-10-24 09:31:00,424.91,318.48,AGC Change 11 -> 13
3,2023-10-25 07:05:00,318.46,318.46,
3,2023-10-26 14:00:00,318.41,318.41,
3,2023-10-26 17:00:00,318.41,121.26,
4,2023-10-27 17:20:00,424.55,297.0,
4,2023-10-30 07:30:00,297.02,297.02,
4,2023-11-01 07:30:00,297.0,297.0,
4,2023-11-02 11:10:00,297.0,107.6,AGC Change 13 -> 18
4,2023-11-03 08:30:00,107.63,107.63,
7,2023-11-07 00:15:00,426.42,214.48,
7,2023-11-08 07:10:00,214.48,214.48,
7,2023-11-09 07:10:00,214.48,214.48,
7,2023-11-09 16:30:00,214.48,52.43,
8,2023-11-09 16:30:00,424.34,391.51,
8,2023-11-10 07:30:00,391.75,391.75,
8,2023-11-13 16:05:00,391.61,391.61,
8,2023-11-14 07:15:00,391.79,391.79,
8,2023-11-14 08:33:00,391.79,265.41,AGC Change 18 -> 16
8,2023-11-15 07:22:00,265.41,265.41,
8,2023-11-17 01:05:00,265.41,62.57,
10,2023-11-17 01:10:00,422.86,422.86,
10,2023-11-20 08:08:00,423.14,423.14,
10,2023-11-21 10:05:00,423.14,276.12,Red LED after finishing an anaesthesia - not changed immediatly but during the next case (a TIVA) - reset time from 11:07 to 10:05 (end of previous case) to match draeger connect data; AGC change 16 -> 17
10,2023-11-22 07:18:00,276.16,276.16,
10,2023-11-23 16:30:00,276.10,162.46,
10,2023-11-25 18:40:00,162.49,162.49,
10,2023-11-27 07:55:00,162.49,86.08,
10,2023-11-28 07:20:00,86.07,86.07,
10,2023-11-29 07:20:00,86.07,52.55,
11,2023-11-29 07:22:00,426.08,303.23,
11,2023-11-30 07:15:00,303.25,303.25,
11,2023-11-30 10:01:00,303.25,178.58,AGC change 17 -> 20
11,2023-12-01 15:57:00,178.62,76.11,
11,2023-12-03 14:00:00,76.13,76.13,
11,2023-12-04 17:50:00,76.13,52.62,
14,2023-12-04 17:52:00,425.42,409.98,
14,2023-12-05 20:15:00,409.97,409.97,
14,2023-12-07 05:15:00,410.01,284.10,
14,2023-12-08 07:40:00,284.02,137.74,
14,2023-12-09 21:15:00,137.73,52.40,
15,2023-12-09 21:20:00,423.17,408.29,
15,2023-12-11 15:30:00,408.34,338.13,AGC change 20 -> 19
15,2023-12-12 16:47:00,338.09,338.09,
15,2023-12-14 01:00:00,338.08,253.55,
15,2023-12-15 11:00:00,253.60,154.57,
15,2023-12-18 16:00:00,154.69,154.69,
15,2023-12-19 17:45:00,154.64,154.64,
15,2023-12-20 07:15:00,154.64,53.19,
17,2023-12-20 07:17:00,426.20,410.67,
17,2023-12-21 22:10:00,410.63,322.27,
17,2023-12-27 10:35:00,322.24,192.55,
17,2023-12-28 12:00:00,192.59,100.46,AGC change 19 -> 15
17,2023-12-29 17:05:00,100.45,53.18,
20,2023-12-29 17:07:00,426.51,320.74,
20,2023-12-31 07:45:00,321.24,321.24,
20,2024-01-01 19:35:00,321.24,304.45,AGC change 15 -> 21
20,2024-01-02 16:30:00,304.45,304.45,
20,2024-01-03 16:35:00,304.45,202.95,
20,2024-01-05 04:35:00,202.88,86.41,
20,2024-01-06 16:00:00,86.41,52.50,
21,2024-01-06 16:02:00,422.81,422.81,
21,2024-01-08 20:20:00,422.93,422.93,
21,2024-01-09 16:35:00,422.85,310.71,
21,2024-01-10 17:15:00,310.72,310.72,
21,2024-01-11 16:40:00,310.81,310.81,
21,2024-01-11 10:30:00,310.81,209.85,
21,2024-01-15 03:05:00,209.85,209.85,
21,2024-01-17 07:40:00,209.85,86.50,
21,2024-01-18 17:30:00,86.50,52.93,
23,2024-01-18 17:35:00,425.00,337.14,
23,2024-01-19 16:10:00,337.65,221.69,
23,2024-01-22 16:35:00,221.71,221.71,
23,2024-01-23 14:15:00,221.71,88.93,
23,2024-01-25 06:45:00,88.93,52.92,
25,2024-01-25 06:45:00,423.69,398.26,pre maintenance
#25,2024-01-27 14:30:00,398.20,286.13,post maintenance -> CONTRAfluran was
removed before
25,2024-01-29 16:20:00,286.08,286.08,
25,2024-01-30 16:40:00,286.08,202.54,
25,2024-01-31 16:35:00,202.51,202.51,
25,2024-02-01 16:15:00,202.51,134.31,
25,2024-02-02 16:10:00,134.31,67.77,
27,2024-02-02 16:12:00,425.00,425.00,
